claim_id,policy_id,insured_id,vehicle_id,driver_id,provider_id,line_of_business,coverage,claim_type,channel,city,branch,vehicle_year,vehicle_age,claim_amount,estimated_damage_amount,paid_amount,claim_status,sum_insured,deductible,incidents_last_12_months,incidents_last_18_months,vehicle_incidents_last_18_months,driver_incidents_last_18_months,prior_rc_claims,days_since_policy_start,days_until_policy_end,days_between_occurrence_report,occurred_at,submitted_at,is_night_claim,documents_complete,missing_critical_document,documents_inconsistent,beneficiary_type,provider_observed_cases,provider_watchlist,accident_dynamics,unidentified_third_party,narrative_similarity_max,narrative_group,customer_segment,customer_tenure_months,customer_policies_count,customer_delinquent,customer_score_simulated,report_narrative,fraud_label,fraud_probability,ml_risk_score,model_version
CLM-00001,POL-10000,CUST-400,VEH-700,DRV-300,PROV-20,vehicles,Robo total,theft,web,Guayaquil,Sierra Centro,2008,18,52298,26542,0,Reserva,52820,615,3,3,1,1,1,38,8,9,2026-04-04T19:23:49.270364+00:00,2026-04-13T19:23:49.270364+00:00,1,1,0,1,Asegurado,9,1,illogical,0,0.72,NARR-0,Preferente,17,1,1,500,"Reclamo con danos altos, documentos por validar y patron similar a casos observados.",1,0.9689,97,sklearn-random-forest-v1
CLM-00002,POL-10017,CUST-401,VEH-701,DRV-301,PROV-21,vehicles,Atencion medica,injury,web,Ambato,Austro,2007,19,3856,1710,2423,Pago Parcial,8933,1087,5,6,4,1,1,28,127,9,2026-01-16T19:23:49.270364+00:00,2026-01-25T19:23:49.270364+00:00,1,0,1,1,Taller,7,1,volcadura,0,0.82,NARR-1,Preferente,17,1,1,542,Choque menor reportado por el asegurado con soporte fotografico inicial.,0,0.4982,50,sklearn-random-forest-v1
CLM-00003,POL-10034,CUST-1026,VEH-2058,DRV-1046,PROV-122,vehicles,Vidrios,glass,app,Ambato,Sierra Centro,2025,1,16912,18779,10484,Reserva,40502,747,2,2,1,1,1,606,697,2,2026-01-14T19:23:49.270364+00:00,2026-01-16T19:23:49.270364+00:00,0,1,0,0,Asegurado,0,0,posterior,0,0.24,NARR-102,Preferente,81,4,0,737,Choque menor reportado por el asegurado con soporte fotografico inicial.,0,0.0877,9,sklearn-random-forest-v1
CLM-00004,POL-10051,CUST-1039,VEH-2087,DRV-1069,PROV-133,vehicles,Otros danos,other,app,Quito,Sierra Centro,2008,18,16097,17781,9321,Pago Parcial,58216,503,0,2,1,1,1,480,525,1,2026-02-01T19:23:49.270364+00:00,2026-02-02T19:23:49.270364+00:00,0,1,0,0,Taller,0,0,multiple,0,0.17,NARR-103,Preferente,23,5,0,620,Choque menor reportado por el asegurado con soporte fotografico inicial.,0,0.034,3,sklearn-random-forest-v1
CLM-00005,POL-10068,CUST-1052,VEH-2116,DRV-1092,PROV-144,vehicles,Otros danos,other,app,Cuenca,Sierra Centro,2022,4,5731,5319,3933,Pago Parcial,14680,302,1,1,1,0,0,657,551,1,2026-04-07T19:23:49.270364+00:00,2026-04-08T19:23:49.270364+00:00,0,1,0,0,Perito,2,0,multiple,0,0.24,NARR-104,Preferente,63,1,0,826,Choque menor reportado por el asegurado con soporte fotografico inicial.,0,0.0132,1,sklearn-random-forest-v1
CLM-00006,POL-10085,CUST-405,VEH-705,DRV-300,PROV-25,vehicles,Responsabilidad Civil,collision,callcenter,Cuenca,Norte,2005,21,40452,17204,0,Reserva,112994,270,3,5,3,4,5,10,640,4,2026-04-09T19:23:49.270364+00:00,2026-04-13T19:23:49.270364+00:00,1,1,0,0,Clinica,4,0,frontal,0,0.77,NARR-5,Preferente,17,1,1,584,"Reclamo con danos altos, documentos por validar y patron similar a casos observados.",1,0.9699,97,sklearn-random-forest-v1
CLM-00007,POL-10102,CUST-1078,VEH-2174,DRV-1138,PROV-166,vehicles,Vidrios,glass,broker,Manta,Austro,2020,6,15873,14838,13264,Pago Parcial,55395,486,1,1,1,1,1,357,226,3,2026-01-13T19:23:49.271365+00:00,2026-01-16T19:23:49.271365+00:00,0,1,0,0,Taller,1,0,frontal,0,0.23,NARR-106,Retail,76,3,0,650,Choque menor reportado por el asegurado con soporte fotografico inicial.,0,0.0136,1,sklearn-random-forest-v1
CLM-00008,POL-10119,CUST-1091,VEH-2203,DRV-1161,PROV-177,vehicles,Vidrios,glass,app,Guayaquil,Austro,2019,7,22449,19315,18022,Pago Parcial,74322,911,2,2,0,1,1,157,670,1,2026-04-30T19:23:49.271365+00:00,2026-05-01T19:23:49.271365+00:00,1,1,0,0,Taller,2,0,normal,0,0.4,NARR-107,Preferente,58,3,0,663,Choque menor reportado por el asegurado con soporte fotografico inicial.,0,0.0273,3,sklearn-random-forest-v1
CLM-00009,POL-10136,CUST-1104,VEH-2232,DRV-1184,PROV-108,vehicles,Otros danos,other,broker,Cuenca,Norte,2016,10,1349,1354,1032,Liquidado,4803,573,0,0,0,0,1,469,50,2,2026-01-31T19:23:49.271365+00:00,2026-02-02T19:23:49.271365+00:00,0,1,0,0,Clinica,0,0,volcadura,0,0.11,NARR-108,Preferente,77,4,0,819,Choque menor reportado por el asegurado con soporte fotografico inicial.,0,0.0162,2,sklearn-random-forest-v1
CLM-00010,POL-10153,CUST-402,VEH-700,DRV-304,PROV-23,vehicles,Robo parcial,theft,broker,Loja,Austro,1999,27,23574,13648,17277,Reserva,79432,913,4,4,3,1,1,28,59,2,2025-12-20T19:23:49.271365+00:00,2025-12-22T19:23:49.271365+00:00,1,1,0,1,Perito,9,0,frontal,0,0.96,NARR-3,Retail,14,1,0,461,Choque menor reportado por el asegurado con soporte fotografico inicial.,0,0.5819,58,sklearn-random-forest-v1
CLM-00011,POL-10170,CUST-1130,VEH-2290,DRV-1230,PROV-130,vehicles,Incendio,fire,web,Guayaquil,Costa,2024,2,14336,18690,12708,Reserva,44951,1089,0,0,0,1,1,306,186,3,2026-04-12T19:23:49.271365+00:00,2026-04-15T19:23:49.271365+00:00,0,1,0,0,Perito,1,0,posterior,0,0.22,NARR-110,Pyme,84,3,0,642,Choque menor reportado por el asegurado con soporte fotografico inicial.,0,0.073,7,sklearn-random-forest-v1
CLM-00012,POL-10187,CUST-404,VEH-702,DRV-301,PROV-25,vehicles,Choque,collision,web,Quito,Costa,2000,26,39857,17566,0,Reserva,144640,785,4,4,2,3,1,24,273,8,2026-05-26T19:23:49.271365+00:00,2026-06-03T19:23:49.271365+00:00,0,1,0,0,Asegurado,6,0,volcadura,0,0.92,NARR-5,Retail,6,1,0,544,"Reclamo con danos altos, documentos por validar y patron similar a casos observados.",1,0.9928,99,sklearn-random-forest-v1
CLM-00013,POL-10204,CUST-1156,VEH-2348,DRV-1276,PROV-152,vehicles,Choque,collision,app,Ambato,Austro,2011,15,15273,19663,13600,Pago Parcial,36261,1014,0,0,1,1,1,565,142,1,2026-03-13T19:23:49.271365+00:00,2026-03-14T19:23:49.271365+00:00,0,1,0,0,Taller,1,0,volcadura,0,0.08,NARR-112,Preferente,79,4,0,694,Choque menor reportado por el asegurado con soporte fotografico inicial.,0,0.0183,2,sklearn-random-forest-v1
CLM-00014,POL-10221,CUST-1169,VEH-2377,DRV-1299,PROV-163,vehicles,Vidrios,glass,web,Guayaquil,Austro,2013,13,15536,18565,13297,Reserva,23564,324,2,2,0,1,0,572,718,0,2026-04-30T19:23:49.271365+00:00,2026-04-30T19:23:49.271365+00:00,0,1,0,0,Asegurado,1,0,volcadura,0,0.24,NARR-113,Pyme,56,1,0,652,Choque menor reportado por el asegurado con soporte fotografico inicial.,0,0.1111,11,sklearn-random-forest-v1
CLM-00015,POL-10238,CUST-400,VEH-705,DRV-304,PROV-22,vehicles,Atencion medica,injury,callcenter,Cuenca,Sierra Centro,2001,25,35697,20079,0,Reserva,57551,1027,4,4,2,3,1,32,354,3,2026-04-01T19:23:49.271365+00:00,2026-04-04T19:23:49.271365+00:00,1,0,1,0,Perito,7,0,multiple,0,0.88,NARR-2,Pyme,13,1,0,538,"Reclamo con danos altos, documentos por validar y patron similar a casos observados.",1,0.9896,99,sklearn-random-forest-v1
CLM-00016,POL-10255,CUST-1195,VEH-2435,DRV-1345,PROV-105,vehicles,Vidrios,glass,broker,Cuenca,Norte,2018,8,10359,11386,7182,Pago Parcial,36121,945,2,2,0,1,0,193,593,2,2026-05-22T19:23:49.271365+00:00,2026-05-24T19:23:49.271365+00:00,0,1,0,0,Asegurado,2,0,posterior,0,0.54,NARR-115,Preferente,87,5,0,722,Choque menor reportado por el asegurado con soporte fotografico inicial.,0,0.008,1,sklearn-random-forest-v1
CLM-00017,POL-10272,CUST-1208,VEH-2464,DRV-1368,PROV-116,vehicles,Otros danos,other,web,Ambato,Costa,2014,12,1132,1244,826,Reserva,3508,895,2,2,1,1,1,387,627,1,2026-05-23T19:23:49.271365+00:00,2026-05-24T19:23:49.271365+00:00,0,1,0,0,Perito,1,0,frontal,0,0.06,NARR-116,Retail,89,2,0,703,Choque menor reportado por el asegurado con soporte fotografico inicial.,0,0.0941,9,sklearn-random-forest-v1
CLM-00018,POL-10289,CUST-1221,VEH-2493,DRV-1391,PROV-127,vehicles,Choque,collision,app,Guayaquil,Sierra Centro,2023,3,8532,7662,0,Reserva,8617,732,0,2,1,0,0,767,5,1,2026-01-16T19:23:49.271365+00:00,2026-01-17T19:23:49.271365+00:00,0,1,0,1,Perito,0,1,illogical,0,0.22,NARR-117,Pyme,62,3,0,807,"Reclamo con danos altos, documentos por validar y patron similar a casos observados.",1,0.9441,94,sklearn-random-forest-v1
CLM-00019,POL-10306,CUST-404,VEH-700,DRV-303,PROV-20,vehicles,Atencion medica,injury,web,Cuenca,Norte,2005,21,26732,16956,0,Reserva,68957,860,3,4,3,4,1,17,512,7,2026-05-04T19:23:49.271365+00:00,2026-05-11T19:23:49.271365+00:00,1,0,1,1,Perito,4,0,volcadura,0,0.9,NARR-0,Pyme,11,2,0,577,"Reclamo con danos altos, documentos por validar y patron similar a casos observados.",1,0.9976,100,sklearn-random-forest-v1
CLM-00020,POL-10323,CUST-405,VEH-701,DRV-304,PROV-21,vehicles,Robo parcial,theft,broker,Ambato,Norte,2006,20,49675,20867,0,Reserva,75399,406,3,6,2,3,1,14,474,5,2026-04-19T19:23:49.271365+00:00,2026-04-24T19:23:49.271365+00:00,1,1,0,1,Clinica,4,0,multiple,0,0.97,NARR-1,Retail,2,1,0,468,"Reclamo con danos altos, documentos por validar y patron similar a casos observados.",1,0.9933,99,sklearn-random-forest-v1
CLM-00021,POL-10340,CUST-1260,VEH-2580,DRV-1460,PROV-160,vehicles,Vidrios,glass,web,Guayaquil,Sierra Centro,2019,7,7462,8658,5333,Pago Parcial,11760,346,1,2,1,0,1,741,192,1,2026-03-05T19:23:49.271365+00:00,2026-03-06T19:23:49.271365+00:00,0,1,0,0,Perito,0,0,volcadura,0,0.37,NARR-120,Preferente,50,3,0,659,Choque menor reportado por el asegurado con soporte fotografico inicial.,0,0.007,1,sklearn-random-forest-v1
CLM-00022,POL-10357,CUST-1273,VEH-2609,DRV-1483,PROV-171,vehicles,Vidrios,glass,web,Ambato,Sierra Centro,2020,6,9292,7435,5796,Pago Parcial,17200,368,0,1,0,1,1,722,541,1,2025-12-23T19:23:49.271365+00:00,2025-12-24T19:23:49.271365+00:00,1,1,0,0,Taller,1,0,frontal,0,0.59,NARR-121,Pyme,38,1,0,763,Choque menor reportado por el asegurado con soporte fotografico inicial.,0,0.0302,3,sklearn-random-forest-v1
CLM-00023,POL-10374,CUST-1286,VEH-2638,DRV-1506,PROV-102,vehicles,Vidrios,glass,broker,Loja,Costa,2020,6,8950,9705,0,Reserva,20659,964,1,1,1,1,0,533,568,0,2025-12-23T19:23:49.271365+00:00,2025-12-23T19:23:49.271365+00:00,0,1,0,0,Perito,0,0,volcadura,0,0.55,NARR-122,Pyme,28,4,0,716,"Reclamo con danos altos, documentos por validar y patron similar a casos observados.",1,0.7426,74,sklearn-random-forest-v1
CLM-00024,POL-10391,CUST-1299,VEH-2667,DRV-1529,PROV-113,vehicles,Responsabilidad Civil,collision,broker,Quito,Norte,2008,18,15687,20239,0,Reserva,42197,297,1,2,1,1,0,622,146,3,2026-01-11T19:23:49.271365+00:00,2026-01-14T19:23:49.271365+00:00,0,1,0,0,Taller,0,0,frontal,0,0.62,NARR-123,Preferente,84,1,0,663,"Reclamo con danos altos, documentos por validar y patron similar a casos observados.",1,0.7812,78,sklearn-random-forest-v1
CLM-00025,POL-10408,CUST-1312,VEH-2696,DRV-1552,PROV-124,vehicles,Otros danos,other,app,Cuenca,Sierra Centro,2024,2,8329,8830,6035,Pago Parcial,29627,643,2,2,1,0,1,454,279,1,2025-12-27T19:23:49.271365+00:00,2025-12-28T19:23:49.271365+00:00,0,1,0,0,Taller,0,0,multiple,0,0.43,NARR-124,Preferente,77,2,0,741,Choque menor reportado por el asegurado con soporte fotografico inicial.,0,0.0089,1,sklearn-random-forest-v1
CLM-00026,POL-10425,CUST-1325,VEH-2725,DRV-1575,PROV-135,vehicles,Otros danos,other,broker,Ambato,Norte,2018,8,13871,12482,11514,Reserva,37063,522,0,2,0,0,1,621,412,0,2026-03-26T19:23:49.271365+00:00,2026-03-26T19:23:49.271365+00:00,1,1,0,0,Perito,1,0,normal,0,0.56,NARR-125,Retail,50,2,0,621,Choque menor reportado por el asegurado con soporte fotografico inicial.,0,0.0641,6,sklearn-random-forest-v1
